frame,q1,q2,q3,q4,q5,q6,x,y,z,tilt
222,35.0034,-41.8583,80.0241,-95.0441,-60.0464,32.8973,47.0906,37.8556,180.0023,67.3223
223,35.0051,-34.9203,80.0361,-95.0662,-50.0696,32.8730,50.3679,35.9129,171.1457,71.5080
224,35.0068,-27.9822,80.0481,-95.0882,-40.0929,32.8487,52.5761,32.2348,162.3190,74.8396
225,35.0085,-21.0442,80.0601,-95.1103,-30.1161,32.8244,53.6728,26.9494,153.9883,77.3373
226,35.0102,-14.1062,80.0722,-95.1324,-20.1393,32.8002,53.7053,20.2730,146.5915,79.0963
227,35.0119,-7.1681,80.0842,-95.1544,-10.1625,32.7759,52.8030,12.4988,140.5050,80.2840
228,35.0136,-0.2301,80.0962,-95.1765,-0.1857,32.7516,51.1619,3.9800,136.0147,81.1275
229,35.0153,6.7079,80.1082,-95.1985,9.7911,32.7274,49.0240,-4.8910,133.2954,81.8937
230,35.0170,13.6460,80.1203,-95.2206,19.7679,32.7031,46.6525,-13.7068,132.3985,82.8624
231,35.0187,20.5840,80.1323,-95.2427,29.7447,32.6788,44.3055,-22.0700,133.2508,84.2964
232,35.0204,27.5221,80.1443,-95.2647,39.7214,32.6545,42.2110,-29.6178,135.6633,86.4127
233,35.0221,34.4601,80.1563,-95.2868,49.6982,32.6303,40.5446,-36.0430,139.3499,89.3602
234,35.0238,41.3981,80.1684,-95.3088,59.6750,32.6060,39.4128,-41.1119,143.9533,86.7918
235,35.0255,48.3362,80.1804,-95.3309,69.6518,32.5817,38.8430,-44.6760,149.0771,82.0532
236,35.0272,55.2742,80.1924,-95.3530,79.6286,32.5575,38.7812,-46.6773,154.3206,76.5030
237,34.9793,55.6616,71.7531,-86.7588,79.9687,32.9636,38.4408,-47.1002,154.9709,85.4031
238,34.9586,55.5889,63.5063,-78.5176,79.9374,32.9814,37.5270,-46.9708,154.6467,85.5361
239,34.9379,55.5161,55.2594,-70.2764,79.9060,32.9992,36.1250,-46.3311,153.5294,76.5423
240,34.9172,55.4433,47.0125,-62.0352,79.8747,33.0171,34.5143,-45.0200,151.5937,68.0543
241,34.8964,55.3705,38.7657,-53.7939,79.8434,33.0349,32.9797,-42.8894,148.9202,60.6256
242,34.8757,55.2978,30.5188,-45.5527,79.8121,33.0527,31.7852,-39.8226,145.6902,54.9632
243,34.9419,55.6876,38.3251,-53.3342,79.9794,32.9840,32.6943,-42.8826,148.9069,60.5502
244,34.8838,55.6408,46.6501,-61.6683,79.9589,33.0222,34.3182,-45.0543,151.5819,67.8639
